instrument,datetime,open,high,low,close,volume
AAPL,1/29/2010,6.051220017,6.084924809,5.725306174,5.77977562,1245952400
AAPL,2/1/2010,5.789106996,5.898346877,5.756906904,5.860127926,749876400
AAPL,2/2/2010,5.895635346,5.907973598,5.81949843,5.89413023,698342400
AAPL,2/3/2010,5.873366837,6.024737872,5.850796525,5.995546818,615328000
AAPL,2/4/2010,5.92031146,5.969665272,5.765029005,5.779474258,757652000
AAPL,2/5/2010,5.796929961,5.898345298,5.743362933,5.882094383,850306800
AAPL,2/8/2010,5.889015484,5.954920355,5.838156951,5.841768265,478270800
AAPL,2/9/2010,5.910984032,5.943485056,5.860727781,5.904062748,632886800
AAPL,2/10/2010,5.895035644,5.916402994,5.845983554,5.871863842,370361600
AAPL,2/11/2010,5.864640382,6.011196344,5.839963469,5.978694916,550345600
AAPL,2/12/2010,5.961842358,6.068073178,5.883298281,6.030155182,655468800
AAPL,2/16/2010,6.077102526,6.129766334,6.064463325,6.121039391,543737600
AAPL,2/17/2010,6.14481249,6.148423805,6.044600513,6.095459461,436396800
AAPL,2/18/2010,6.067771844,6.135784131,6.046405703,6.106894016,422825200
AAPL,2/19/2010,6.074693287,6.115018421,6.052122575,6.068974972,415469600
AAPL,2/22/2010,6.089138946,6.09395363,5.994343952,6.031358719,390563600
AAPL,2/23/2010,6.01871819,6.058742778,5.889616943,5.930243015,575094800
AAPL,2/24/2010,5.965454407,6.062055067,5.953717634,6.038582325,460566400
AAPL,2/25/2010,5.939875552,6.104788254,5.925129751,6.078907967,665126000
AAPL,2/26/2010,6.090341969,6.174303015,6.078906543,6.15775156,507460800
AAPL,3/1/2010,6.191757932,6.304609101,6.182730047,6.289261818,550093600
AAPL,3/2/2010,6.317548631,6.344633085,6.251643753,6.285048008,566546400
AAPL,3/3/2010,6.287755915,6.315742796,6.257662434,6.299491882,372052800
AAPL,3/4/2010,6.297989263,6.347342292,6.278427573,6.341022491,366041200
AAPL,3/5/2010,6.468318738,6.611564342,6.458989508,6.588994026,899620400
AAPL,3/8/2010,6.620892883,6.623300024,6.567928141,6.592905998,429889600
AAPL,3/9/2010,6.569733541,6.7710595,6.557094342,6.711474419,920259200
AAPL,3/10/2010,6.735850862,6.785505233,6.716891861,6.766244888,596218000
AAPL,3/11/2010,6.73825678,6.786104679,6.720501153,6.786104679,405700400
AAPL,3/12/2010,6.842380493,6.853214436,6.793629358,6.819209099,416323600
AAPL,3/15/2010,6.782496655,6.786107166,6.628116146,6.736152649,493502800
AAPL,3/16/2010,6.746383439,6.770458067,6.696127182,6.754508495,446908000
AAPL,3/17/2010,6.768050627,6.81469557,6.718998542,6.744577885,450956800
AAPL,3/18/2010,6.743973922,6.771058778,6.699135047,6.76052618,342109600
AAPL,3/19/2010,6.76473992,6.778281947,6.65760627,6.68830204,559445600
AAPL,3/22/2010,6.634736584,6.80115439,6.625106412,6.76353693,456419600
AAPL,3/23/2010,6.790319876,6.884814342,6.743975472,6.87217474,602431200
AAPL,3/24/2010,6.850505012,6.92754476,6.846592354,6.90256691,597780400
AAPL,3/25/2010,6.949212335,6.950717451,6.808674854,6.820712566,542284400
AAPL,3/26/2010,6.889931926,6.980212403,6.877894208,6.948614597,640875200
AAPL,3/29/2010,7.011809514,7.03799034,6.970280198,6.993451595,540744400
AAPL,3/30/2010,7.120145024,7.146627996,7.049424656,7.097574711,527310000
AAPL,3/31/2010,7.086740905,7.120445699,7.055744195,7.071994305,430659600
AAPL,4/1/2010,7.144519327,7.184242168,7.004283199,7.101184368,603145200
AAPL,4/5/2010,7.071393378,7.177623389,7.065073177,7.177021503,684507600
AAPL,4/6/2010,7.168295957,7.229686701,7.132183612,7.208621502,447017200
AAPL,4/7/2010,7.208921401,7.280243656,7.182137887,7.24052,628502000
AAPL,4/8/2010,7.235705941,7.268808859,7.163481249,7.22096014,572989200
AAPL,4/9/2010,7.26549638,7.279339749,7.236305329,7.276329517,334182800
